Component,Origin,License
core,"github.com/Azure/azure-sdk-for-go/services/adhybridhealthservice/mgmt/2014-01-01/adhybridhealthservice/adhybridhealthserviceapi",Apache-2.0
core,"github.com/Azure/azure-sdk-for-go/services/advisor/mgmt/2017-03-31/advisor",Apache-2.0
core,"github.com/Azure/azure-sdk-for-go/services/advisor/mgmt/2017-04-19/advisor",Apache-2.0
core,"github.com/Azure/azure-sdk-for-go/services/advisor/mgmt/2017-04-19/advisor/advisorapi",Apache-2.0
core,"github.com/Azure/azure-sdk-for-go/services/alertsmanagement/mgmt/2018-05-05/alertsmanagement",Apache-2.0
core,"github.com/Azure/azure-sdk-for-go/services/alertsmanagement/mgmt/2019-03-01/alertsmanagement",Apache-2.0
core,"github.com/Azure/azure-sdk-for-go/services/alertsmanagement/mgmt/2019-03-01/alertsmanagement/alertsmanagementapi",Apache-2.0
core,"github.com/Azure/azure-sdk-for-go/services/analysisservices/mgmt/2016-05-16/analysisservices",Apache-2.0
core,"github.com/Azure/azure-sdk-for-go/services/analysisservices/mgmt/2017-07-14/analysisservices",Apache-2.0
core,"github.com/Azure/azure-sdk-for-go/services/analysisservices/mgmt/2017-08-01/analysisservices",Apache-2.0
core,"github.com/Azure/azure-sdk-for-go/services/analysisservices/mgmt/2017-08-01/analysisservices/analysisservicesapi",Apache-2.0
core,"github.com/Azure/azure-sdk-for-go/services/apimanagement/mgmt/2016-07-07/apimanagement",Apache-2.0
core,"github.com/Azure/azure-sdk-for-go/services/apimanagement/mgmt/2016-10-10/apimanagement",Apache-2.0
core,"github.com/Azure/azure-sdk-for-go/services/apimanagement/mgmt/2017-03-01/apimanagement",Apache-2.0
core,"github.com/Azure/azure-sdk-for-go/services/apimanagement/mgmt/2018-01-01/apimanagement",Apache-2.0
core,"github.com/Azure/azure-sdk-for-go/services/apimanagement/mgmt/2019-01-01/apimanagement",Apache-2.0
core,"github.com/Azure/azure-sdk-for-go/services/apimanagement/mgmt/2019-01-01/apimanagement/apimanagementapi",Apache-2.0
core,"github.com/Azure/azure-sdk-for-go/services/appconfiguration/mgmt/2019-10-01/appconfiguration",Apache-2.0
core,"github.com/Azure/azure-sdk-for-go/services/appconfiguration/mgmt/2019-10-01/appconfiguration/appconfigurationapi",Apache-2.0
core,"github.com/Azure/azure-sdk-for-go/services/appinsights/mgmt/2015-05-01/insights",Apache-2.0
core,"github.com/Azure/azure-sdk-for-go/services/appinsights/mgmt/2015-05-01/insights/insightsapi",Apache-2.0
core,"github.com/Azure/azure-sdk-for-go/services/authorization/mgmt/2015-07-01/authorization",Apache-2.0
core,"github.com/Azure/azure-sdk-for-go/services/authorization/mgmt/2015-07-01/authorization/authorizationapi",Apache-2.0
core,"github.com/Azure/azure-sdk-for-go/services/automation/mgmt/2015-10-31/automation",Apache-2.0
core,"github.com/Azure/azure-sdk-for-go/services/automation/mgmt/2015-10-31/automation/automationapi",Apache-2.0
